,adk,atpA,dxr,glyA,recA,sodA,tpi,mlst_clade
370,36,1,1,10,1,3,5,2
371,1,1,2,67,5,3,1,1
372,1,1,2,1,1,57,1,1
373,1,1,16,1,1,5,1,1
374,1,1,2,68,1,1,1,1
375,1,1,2,3,1,5,9,1
376,1,1,2,3,1,5,15,1
377,1,1,2,46,5,3,1,1
378,1,1,2,16,5,43,3,1
379,1,1,6,23,1,33,1,1
380,1,1,11,1,1,1,1,2
381,1,1,13,1,3,1,9,1
382,1,1,50,15,1,5,1,1
383,1,3,9,9,1,3,2,2
384,1,5,7,1,1,19,1,1
385,1,5,9,23,1,1,39,2
386,1,7,14,46,6,20,9,4
387,3,1,3,8,6,20,10,4
388,4,1,6,1,4,26,65,1
389,9,7,3,70,6,18,37,4
390,9,7,3,8,6,18,37,4
391,11,7,10,14,6,20,66,4
392,11,7,14,46,6,58,10,4
393,11,7,49,14,6,20,10,4
394,14,1,26,1,39,3,1,1
395,37,1,11,1,1,3,1,2
396,39,3,2,16,3,1,6,1
397,40,5,9,71,1,1,2,2
398,1,1,6,1,8,3,1,1
399,1,1,2,23,5,3,1,1
400,1,1,6,1,8,6,1,1
401,1,1,2,13,5,3,1,1
402,1,11,2,73,1,5,1,1
403,1,6,4,1,2,8,7,3
404,1,1,2,7,1,7,1,1
405,1,4,6,16,1,60,1,1
406,11,25,10,14,6,20,15,4
407,1,1,2,20,1,1,1,1
408,1,5,9,23,1,1,2,2
409,1,1,9,23,1,1,2,2
410,1,43,9,23,1,1,38,2
411,1,43,9,37,1,1,2,2
412,11,7,14,14,41,20,9,4
413,1,50,2,1,1,1,1,1
414,1,4,7,5,1,3,3,1
415,1,1,8,1,1,3,3,1
416,1,11,51,1,40,3,3,1
417,1,1,2,6,1,17,3,1
418,3,7,10,14,6,20,9,4
419,1,4,21,1,1,3,3,1
420,11,51,10,14,6,20,15,4
421,11,7,14,42,6,20,10,4
422,11,7,14,43,6,39,10,4
423,3,7,3,8,6,9,3,4
424,1,1,2,1,5,5,11,1
425,1,22,6,1,1,3,3,1
426,1,1,11,9,1,3,5,2
427,1,1,6,1,1,33,1,1
428,1,1,2,1,5,5,5,1
429,1,4,7,1,1,20,3,1
430,1,1,1,10,1,3,69,2
431,3,7,3,8,6,9,69,4
432,1,5,7,1,1,3,70,1
433,1,1,2,1,6,3,3,1
434,1,5,6,5,1,3,1,1
435,19,7,14,8,42,39,15,4
436,1,4,7,1,1,11,3,1
437,1,1,2,1,5,1,3,1
438,2,1,1,2,1,5,60,1
439,2,1,1,53,1,5,3,1
440,42,1,2,6,1,5,1,1
441,43,8,5,11,9,11,8,5
442,44,1,2,1,5,5,3,1
443,1,8,5,11,9,11,8,5
444,1,1,2,1,22,1,1,1
445,2,1,2,5,1,3,1,1
446,11,7,10,43,6,20,72,4
